function,file,line,status,markers,bucket,score,caller_count,callee_count,runtime_focus,nd,subcluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
TestLaraSlide,GAME/LARA.C,6517,decompiled,none,P1,3643,17,1,no,no,ledge-and-vault-tests,pivot,proof-first-audit-needed,no,no,"top handoff candidate, but caller intent, state writes, and binary equivalence are not proven",RE-070 lara movement caller and side-effect map
TestLaraVault,GAME/LARA.C,5974,decompiled,none,P1,3008,5,4,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
CreateFlare,GAME/LARAFLAR.C,133,decompiled,none,P1,2652,4,8,no,no,flare-movement-support,flare-support,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
LaraHangRightCornerTest,GAME/LARA.C,5272,decompiled,none,P1,2585,1,3,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
LaraHangLeftCornerTest,GAME/LARA.C,5266,decompiled,none,P1,2573,1,3,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
LaraWaterCurrent,GAME/LARASWIM.C,27,decompiled,none,P1,2452,2,4,no,no,water-movement-support,water-movement-support,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
UpdateRopeSwing,GAME/LARA.C,3556,decompiled,none,P1,2363,2,1,no,no,lara-control-context,supporting-candidate,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
ShotLara,GAME/PEOPLE.C,19,decompiled,none,P1,2327,0,9,no,no,lara-control-context,supporting-candidate,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
GetWaterDepth,GAME/LARASWIM.C,32,decompiled,none,P1,2209,2,3,no,no,water-movement-support,water-movement-support,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
LaraClimbLeftCornerTest,GAME/LARACLMB.C,866,decompiled,none,P1,2098,1,2,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
LaraClimbRightCornerTest,GAME/LARACLMB.C,663,decompiled,none,P1,2086,1,2,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
LaraTestClimb,GAME/LARACLMB.C,872,decompiled,none,P1,2041,1,3,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
LaraTestWaterClimbOut,GAME/LARASURF.C,329,decompiled,none,P1,1963,1,1,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
CalcLaraMatrices,GAME/DELSTUFF.C,96,decompiled,none,P1,1848,1,4,no,no,lara-control-context,supporting-candidate,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
LaraTestClimbStance,GAME/LARA.C,6314,decompiled,none,P1,1823,3,1,no,no,ledge-and-vault-tests,ledge-vault-support,cluster-support-proof-needed,no,no,ledge/vault/hang predicates need grouped source contract and equivalence proof,include in RE-070 caller/side-effect map
DoFlareInHand,GAME/LARAFLAR.C,143,decompiled,none,P2,1674,2,2,no,no,flare-movement-support,flare-support,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
DelAlignLaraToRope,GAME/LARAMISC.C,131,decompiled,none,P2,1268,1,0,no,no,lara-control-context,supporting-candidate,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
InitialiseLaraCarriedItems,GAME/SETUP.C,422,decompiled,none,P2,800,0,0,yes,no,lara-control-context,supporting-candidate,backlog-candidate-proof-needed,no,no,useful movement support row but not selected as first subcluster proof target,defer until ledge/vault proof gate closes
