rank,candidate_id,source_cluster_rank,source_cluster,gate_decision,focus_cluster,bridge_class,body_size_bucket,mapped_caller_count,mapped_callee_count,source_context_count,representative_source_context,ready_to_reopen_domain,source_patch_authorized,next_gate,stop_condition
1,b6d128932004,3,effects-lighting-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,tiny,52,0,52,GAME:CalculateSpotCams;GAME:ControlBodyPart;GAME:ControlElectricalLight;GAME:ControlEnemyMissile;GAME:ControlExplosion;GAME:ControlRollingBall,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
2,f7335a494e49,6,gameflow-save-runtime-cluster,defer-after-focus-cluster,no,mapped-caller-callee-bridge,large,3,42,45,GAME:AlertNearbyGuards;GAME:AlterFOV;GAME:AnimateWaterfalls;GAME:CalculateCamera;GAME:CalculateSpotCams;GAME:ClearDynamics,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
3,1e35f3f4fb97,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,small,34,0,34,SPEC_PSX:DEL_CDFS_Read;SPEC_PSX:DEL_ChangeCDMode;SPEC_PSX:GPU_FlipNoIdle;SPEC_PSX:InitNewCDSystem;SPEC_PSX:LOAD_Start;SPEC_PSX:S_CDPlay,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
4,5e99f39fd8ef,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,small,20,7,27,GAME:CogSwitchCollision;GAME:CrowDoveSwitchCollision;GAME:CrowbarSwitchCollision;GAME:DoorCollision;GAME:DoubleDoorCollision;GAME:FloorTrapDoorCollision,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
5,d96359c1d9f3,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,small,23,4,27,GAME:CeilingTrapDoorCollision;GAME:CogSwitchCollision;GAME:CrowDoveSwitchCollision;GAME:CrowbarSwitchCollision;GAME:DoorCollision;GAME:DoubleDoorCollision,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
6,8d1fc6fc3cfc,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,medium,22,3,23,GAME:AnimatingPickUp;GAME:CogSwitchControl;GAME:CrowDoveSwitchControl;GAME:CrowbarSwitchCollision;GAME:DoorControl;GAME:FallingCeiling,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
7,bcfb623df366,7,actor-ai-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,12,13,25,GAME:TriggerActorBlood;GAME:andrea2_control;GAME:andy2_control;GAME:andy4_control;GAME:andy4b_control;GAME:andy5_control,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
8,de919274685f,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,tiny,25,0,25,GAME:S_CallInventory2;SPEC_PSX:CreateMonoScreen;SPEC_PSX:FMV_InitialiseVRAM;SPEC_PSX:GPU_FlipNoIdle;SPEC_PSX:LOAD_Start;SPEC_PSX:S_LoadLevelFile,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
9,f5d0099b5511,3,effects-lighting-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,small,23,0,23,GAME:ControlBlinker;GAME:ControlColouredLight;GAME:ControlElectricalLight;GAME:ControlPulseLight;GAME:ControlStrobeLight;GAME:DoFlameTorch,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
10,61d55bb1809b,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,small,20,1,21,GAME:CeilingTrapDoorCollision;GAME:CogSwitchCollision;GAME:CrowDoveSwitchCollision;GAME:CrowbarSwitchCollision;GAME:FireCollision;GAME:FlameTorchControl,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
