function,file,line,status,markers,bucket,score,caller_count,callee_count,runtime_focus,nd,cluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
ShatterObject,GAME/DEBRIS.C,54,decompiled,none,P1,4834,7,6,no,no,debris-object-breakage,pivot,proof-first-audit-needed,no,no,"symbolic top candidate from RE-044, but source/binary equivalence and side effects are not proven",RE-062 debris/object-breakage caller and side-effect map
DoTitle,GAME/GAMEFLOW.C,931,debugged,D;F;ND,P0,4506,0,24,yes,yes,gameflow-runtime-control,nd-marker-audit-target,nd-marker-proof-needed,no,no,ND marker needs behavior proof before removal or marker upgrade,ND marker audit after the initial module-game cluster map
LaraControl,GAME/LARAMISC.C,163,decompiled,none,P1,3895,1,13,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
TestLaraSlide,GAME/LARA.C,6517,decompiled,none,P1,3643,17,1,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
TestLaraVault,GAME/LARA.C,5974,decompiled,none,P1,3008,5,4,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
QuickControlPhase,GAME/GAMEFLOW.C,783,debugged,D;F;ND,P0,2836,2,2,yes,yes,gameflow-runtime-control,nd-marker-audit-target,nd-marker-proof-needed,no,no,ND marker needs behavior proof before removal or marker upgrade,ND marker audit after the initial module-game cluster map
CreateFlare,GAME/LARAFLAR.C,133,decompiled,none,P1,2652,4,8,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraHangRightCornerTest,GAME/LARA.C,5272,decompiled,none,P1,2585,1,3,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraHangLeftCornerTest,GAME/LARA.C,5266,decompiled,none,P1,2573,1,3,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
DoFlameTorch,GAME/FLMTORCH.C,54,decompiled,none,P1,2554,1,6,no,no,item-lighting-interaction,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
DoGameflow,GAME/GAMEFLOW.C,155,decompiled,none,P0,2470,1,2,yes,no,gameflow-runtime-control,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraWaterCurrent,GAME/LARASWIM.C,27,decompiled,none,P1,2452,2,4,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
UpdateRopeSwing,GAME/LARA.C,3556,decompiled,none,P1,2363,2,1,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
ShotLara,GAME/PEOPLE.C,19,decompiled,none,P1,2327,0,9,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
FlameTorchControl,GAME/FLMTORCH.C,30,decompiled,none,P1,2272,0,8,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitFont,GAME/TEXT.C,97,debugged,D;F;ND,P0,2246,1,0,no,yes,ui-text-support,nd-marker-audit-target,nd-marker-proof-needed,no,no,ND marker needs behavior proof before removal or marker upgrade,ND marker audit after the initial module-game cluster map
andrea2_control,GAME/DELTAPAK.C,1891,decompiled,none,P1,2210,0,10,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
GetWaterDepth,GAME/LARASWIM.C,32,decompiled,none,P1,2209,2,3,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
TriggerDebris,GAME/DEBRIS.C,49,decompiled,none,P1,2131,1,5,no,no,debris-object-breakage,domain-entry-or-support,cluster-support-proof-needed,no,no,cluster support row still lacks non-raw equivalence proof,include in RE-062 cluster call/data map
