function,file,line,implementation_status,object_family,cluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
Load_and_Init_Cutseq,GAME/DELTAPAK.C,3221,implemented-source,gameplay-state,gameplay-mixed,pivot-gameplay-mixed,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
CreateZone,GAME/LOT.C,21,unimplemented-stub,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
special4_init,GAME/DELTAPAK.C,2580,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
init_water_table,GAME/SETUP.C,254,platform-gated-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
InitialiseSqrtTable,GAME/SETUP.C,318,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
InitTarget,GAME/SETUP.C,331,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
InitBinoculars,GAME/SETUP.C,371,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
InitialiseFootPrints,GAME/SETUP.C,606,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
LoadLevel,GAME/SETUP.C,1009,unimplemented-stub,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
EscapeBox,GAME/BOX.C,733,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
InitPackNodes,GAME/DELTAPAK.C,3574,implemented-source,gameplay-state,gameplay-mixed,gameplay-mixed-support,proof-first-audit-needed,no,no,Gameplay mixed state contract and symbolic equivalence proof missing,RE-134 Gameplay mixed caller and side-effect map
