api_name,declaration_status,definition_status,proof_status,code_change_readiness,blocker
SpuClearReverbWorkArea,declared,absent,absent,blocked,behavior and ABI proof required
SpuFlush,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetCommonMasterVolumeAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetCommonMasterVolumeX,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetIRQ,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetIRQAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetNoiseClock,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetNoiseVoice,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetReverbModeDelayTime,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetReverbModeFeedback,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetReverbModeParam,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetReverbModeType,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceADSR,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceADSRAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceAR,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceARAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceDR,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceEnvelope,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceEnvelopeAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceLoopStartAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceNote,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoicePitch,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceRR,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceRRAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceSL,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceSR,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceSRAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceSampleNote,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceStartAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceVolume,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceVolumeAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuGetVoiceVolumeX,declared,absent,absent,blocked,behavior and ABI proof required
SpuInitHot,declared,absent,absent,blocked,behavior and ABI proof required
SpuIsReverbWorkAreaReserved,declared,absent,absent,blocked,behavior and ABI proof required
SpuLSetVoiceAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuNGetVoiceAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuNSetVoiceAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuQuit,declared,absent,absent,blocked,behavior and ABI proof required
SpuRGetAllKeysStatus,declared,absent,absent,blocked,behavior and ABI proof required
SpuRSetVoiceAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuRead,declared,absent,absent,blocked,behavior and ABI proof required
SpuReadDecodedData,declared,absent,absent,blocked,behavior and ABI proof required
SpuReserveReverbWorkArea,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetCommonMasterVolumeAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetESA,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetEnv,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetIRQ,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetIRQAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetNoiseClock,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetNoiseVoice,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetReverbDepth,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetReverbModeDelayTime,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetReverbModeFeedback,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetReverbModeParam,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceADSR,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceADSRAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceAR,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceARAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceDR,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceLoopStartAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceNote,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoicePitch,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceRR,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceRRAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceSL,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceSR,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceSRAttr,declared,absent,absent,blocked,behavior and ABI proof required
