function,file,line,bucket,status,score,caller_count,callee_count,nd,runtime_focus,subcluster,proof_status,code_change_ready,marker_ready,blocker
mTranslateXYZ,SPEC_PSXPC_N/MATHS.C,305,P1,decompiled,3122,15,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawPhaseGame,SPEC_PSXPC/DRAWPHAS.C,49,P1,decompiled,3075,2,19,no,no,draw-phase-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mTranslateXYZ,SPEC_PSXPC/MATHS.C,194,P1,decompiled,2902,15,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mPushUnitMatrix,SPEC_PSXPC_N/MATHS.C,280,P1,decompiled,2646,13,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mPushUnitMatrix,SPEC_PSXPC/MATHS.C,179,P1,decompiled,2426,13,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawGameInfo,GAME/HEALTH.C,203,P1,decompiled,2165,1,7,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mSetTrans,SPEC_PSXPC_N/MATHS.C,1108,P1,decompiled,2162,9,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UseOrderingTables,SPEC_PSXPC_N/GPU.C,32,P0,debugged,2132,3,0,yes,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawCutSeqActors,SPEC_PSXPC_N/DELTAPAK_S.C,50,P1,decompiled,2097,1,9,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_FlipToBuffer,SPEC_PSXPC_N/MISC.C,398,P0,debugged,2052,1,4,yes,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_ClearVRAM,SPEC_PSXPC_N/MISC.C,326,P0,debugged,2025,1,3,yes,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mSetTrans,SPEC_PSXPC/MATHS.C,420,P1,decompiled,1942,9,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
undraw_flare,GAME/LARAFLAR.C,54,P1,decompiled,1927,0,5,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mQuickW2VMatrix,SPEC_PSXPC_N/MATHS.C,15,P2,decompiled,1766,4,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_BeginScene,SPEC_PSXPC_N/MISC.C,249,P2,decompiled,1753,5,1,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawGunflashes,GAME/DRAW.C,202,P2,decompiled,1705,1,7,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawFlareInAir,GAME/LARAFLAR.C,138,P2,decompiled,1614,0,6,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_BeginScene,SPEC_PSXPC/MISC.C,130,P2,decompiled,1533,5,1,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawTPage,SPEC_PSXPC_N/MISC.C,112,P2,decompiled,1494,3,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_SyncBothScreens,SPEC_PSXPC_N/MISC.C,375,P2,decompiled,1444,2,2,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
MakeMono,SPEC_PSXPC_N/DRAWOBJ.C,2125,P2,decompiled,1410,1,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_FlipNoIdle,SPEC_PSXPC/GPU.C,73,P2,decompiled,1326,1,4,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawLineV,SPEC_PSXPC_N/MISC.C,170,P2,decompiled,1318,1,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UseOrderingTables,SPEC_PSX/GPU.C,27,P2,decompiled,1302,3,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
LOAD_DrawEnable,SPEC_PSXPC_N/MISC.C,244,P2,decompiled,1298,2,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawTPage,SPEC_PSXPC/MISC.C,80,P2,decompiled,1274,3,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UseOrderingTables,SPEC_PSXPC/GPU.C,25,P2,decompiled,1262,3,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mLoadMatrix,SPEC_PSXPC/MATHS.C,392,P2,decompiled,1262,3,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_SyncBothScreens,SPEC_PSXPC/MISC.C,281,P2,decompiled,1224,2,2,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_SetScreenPosition,SPEC_PSXPC_N/MISC.C,365,P2,decompiled,1190,1,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawLineV,SPEC_PSXPC/MISC.C,90,P2,decompiled,1098,1,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
LOAD_DrawEnable,SPEC_PSXPC/MISC.C,125,P2,decompiled,1078,2,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
