function,file,role,implementation_status,object_family,side_effect_surface,source_contract,proof_status,patch_ready,blocker
Load_and_Init_Cutseq,GAME/DELTAPAK.C,pivot-gameplay-mixed,implemented-source,gameplay-state,cutscene-state;camera-state;lara-position-state;file-load-state,Gameplay cutscene loading and cutscene actor initialization state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
CreateZone,GAME/LOT.C,gameplay-mixed-support,unimplemented-stub,gameplay-state,zone-state;creature-state;room-state,Gameplay zone and creature pathing setup state,source-body-missing,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
special4_init,GAME/DELTAPAK.C,gameplay-mixed-support,implemented-source,gameplay-state,cutscene-state;special-sequence-state,Gameplay special cutscene initialization state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
init_water_table,GAME/SETUP.C,gameplay-mixed-support,platform-gated-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay water table setup state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
InitialiseSqrtTable,GAME/SETUP.C,gameplay-mixed-support,implemented-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay sqrt table setup state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
InitTarget,GAME/SETUP.C,gameplay-mixed-support,implemented-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay target setup state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
InitBinoculars,GAME/SETUP.C,gameplay-mixed-support,implemented-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay binocular setup state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
InitialiseFootPrints,GAME/SETUP.C,gameplay-mixed-support,implemented-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay footprint setup state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
LoadLevel,GAME/SETUP.C,gameplay-mixed-support,unimplemented-stub,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay level load orchestration state,source-body-missing,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
EscapeBox,GAME/BOX.C,gameplay-mixed-support,implemented-source,gameplay-state,ai-pathing-state;box-state,Gameplay AI escape box state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
InitPackNodes,GAME/DELTAPAK.C,gameplay-mixed-support,implemented-source,gameplay-state,setup-table-state;level-load-state;gameplay-global-state,Gameplay pack node initialization state,platform-gated-source-needs-equivalence-proof,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
