family_id,callee,argument_shape,callsite_count,coordinate_family,colour_family,text_family,flag_family,state_fields,visible_side_effects,source_backing,proof_status,patch_ready,blocker,next_probe
ui-text-printstring-caller-layout-literal-colour-inline-control-string-center,PrintString,shape-ui-text-printstring-five-arg,8,caller-layout-derived,literal-colour-index,inline-control-string,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-literal-colour-inline-control-string-none,PrintString,shape-ui-text-printstring-five-arg,2,caller-layout-derived,literal-colour-index,inline-control-string,no-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-literal-colour-string-wad-center,PrintString,shape-ui-text-printstring-five-arg,1,caller-layout-derived,literal-colour-index,string-wad-offset,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-literal-colour-string-wad-none,PrintString,shape-ui-text-printstring-five-arg,10,caller-layout-derived,literal-colour-index,string-wad-offset,no-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-literal-colour-string-wad-right,PrintString,shape-ui-text-printstring-five-arg,5,caller-layout-derived,literal-colour-index,string-wad-offset,right-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-request-colour-string-wad-center,PrintString,shape-ui-text-printstring-five-arg,1,caller-layout-derived,request-colour-field,string-wad-offset,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-request-colour-string-wad-none,PrintString,shape-ui-text-printstring-five-arg,1,caller-layout-derived,request-colour-field,string-wad-offset,no-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-caller-layout-request-colour-string-wad-right,PrintString,shape-ui-text-printstring-five-arg,1,caller-layout-derived,request-colour-field,string-wad-offset,right-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-literal-coordinate-literal-colour-formatted-buffer-none,PrintString,shape-ui-text-printstring-five-arg,2,literal-or-expression-coordinate,literal-colour-index,formatted-buffer,no-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-literal-coordinate-literal-colour-string-wad-center,PrintString,shape-ui-text-printstring-five-arg,2,literal-or-expression-coordinate,literal-colour-index,string-wad-offset,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-literal-coordinate-literal-colour-string-wad-right,PrintString,shape-ui-text-printstring-five-arg,2,literal-or-expression-coordinate,literal-colour-index,string-wad-offset,right-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-literal-colour-formatted-buffer-blink-composite,PrintString,shape-ui-text-printstring-five-arg,1,screen-centered-or-absolute,literal-colour-index,formatted-buffer,blink-or-composite-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-literal-colour-formatted-buffer-caller-provided,PrintString,shape-ui-text-printstring-five-arg,2,screen-centered-or-absolute,literal-colour-index,formatted-buffer,caller-provided-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-literal-colour-formatted-buffer-right,PrintString,shape-ui-text-printstring-five-arg,5,screen-centered-or-absolute,literal-colour-index,formatted-buffer,right-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-literal-colour-string-wad-blink-composite,PrintString,shape-ui-text-printstring-five-arg,2,screen-centered-or-absolute,literal-colour-index,string-wad-offset,blink-or-composite-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-literal-colour-string-wad-center,PrintString,shape-ui-text-printstring-five-arg,36,screen-centered-or-absolute,literal-colour-index,string-wad-offset,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-printstring-screen-centered-request-colour-string-wad-center,PrintString,shape-ui-text-printstring-five-arg,1,screen-centered-or-absolute,request-colour-field,string-wad-offset,center-alignment-flags,scale-flag-state;glyph-draw-call;blink-frame-counter,font-scale-state;draw-char-primitives;text-positioning,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font/draw-buffer/string-table state contract
ui-text-getstringlength-caller-string-optional-bound,GetStringLength,shape-ui-text-length-with-optional-bound,1,literal-or-expression-coordinate,expression-colour,caller-string-pointer,not-applicable,scale-flag-state;font-definition-table;accent-table,font-metric-scan;optional-bounds-output;scale-state-read,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font-metric and ScaleFlag state contract
ui-text-getstringlength-caller-string-with-bounds,GetStringLength,shape-ui-text-length-with-bounds,4,literal-or-expression-coordinate,expression-colour,caller-string-or-string-wad,not-applicable,scale-flag-state;font-definition-table;accent-table,font-metric-scan;optional-bounds-output;scale-state-read,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font-metric and ScaleFlag state contract
ui-text-getstringlength-string-wad-optional-bound,GetStringLength,shape-ui-text-length-with-optional-bound,1,literal-or-expression-coordinate,expression-colour,string-wad-offset,not-applicable,scale-flag-state;font-definition-table;accent-table,font-metric-scan;optional-bounds-output;scale-state-read,source-callsite-only,argument-taxonomy-blocked-until-state-contract,no,missing-ui-text-rendering-state-contract-and-symbolic-equivalence-proof,RE-166 font-metric and ScaleFlag state contract
